,RESTAURANTS NAME,VARIETY OF FOOD,RATING OF RESTAURANT,FOOD PRICE,DISCOUNT COUPON
0,Raju Pav Bhaji and Chinese,"Street Food, Chinese",5.0,₹300 FOR TWO,50% off | Use WELCOME50
1,Joyful Pizza,"Pizzas, Italian, Desserts, Beverages",5.0,₹300 FOR TWO,Flat ₹125 off on orders above ₹249
2,Wafflespoon,"Waffle, Beverages, Snacks",5.0,₹500 FOR TWO,50% off | Use WELCOME50
3,FB Cafe By Frozen Bottle,"Desserts, Pizzas, Bakery",5.0,₹500 FOR TWO,50% off | Use WELCOME50
4,Kathi Roll Factory,"Snacks, Biryani",4.9,₹300 FOR TWO,50% off | Use WELCOME50
5,Cravings all day,"Bakery, Desserts",4.9,₹250 FOR TWO,50% off | Use WELCOME50
6,Rolls Food Point,"Fast Food, Biryani",4.8,₹250 FOR TWO,50% off | Use WELCOME50
7,Sisters Kitchen,"Chinese, Beverages, Fast Food",4.8,₹400 FOR TWO,50% off | Use WELCOME50
8,Biryani by Love,Biryani,4.8,₹600 FOR TWO,50% off | Use WELCOME50
9,Falooda Nation,"Desserts, Ice Cream",4.8,₹200 FOR TWO,50% off | Use WELCOME50
10,The Grove Kitchen And Bar,Indian,4.8,₹1200 FOR TWO,50% off | Use WELCOME50
11,Cheesecakes By CakeZone,"Bakery, Desserts, Sweets, Beverages, Ice Cream, Juices, Bengali",4.8,₹200 FOR TWO,50% off | Use WELCOME50
12,Green Dot Pizza,"Pizzas, Italian, Desserts, Beverages",4.8,₹300 FOR TWO,Flat ₹125 off on orders above ₹249
13,Magic Pancakes,"Waffle, Bakery, Ice Cream, Desserts, Beverages",4.8,₹250 FOR TWO,50% off | Use WELCOME50
14,Grameen Kulfi,"Ice Cream, Desserts",4.8,₹120 FOR TWO,50% off | Use WELCOME50
15,SWEET COUNTY CAKE SHOP,Bakery,4.8,₹500 FOR TWO,50% off | Use WELCOME50
